 Target | All Node Timing - Unsorted | Early Break Timing - Unsorted | All Node Timing - PQ | Early Break Timing - PQ
(279, 279) | 8.460189450001053 | 0.0647317490002024| 27.995617756001593 | 0.11608680900098989
(280, 280) | 8.440168220004125 | 0.06816608799999813| 27.890522031004366 | 0.12323706199822482
(281, 281) | 8.215053326995985 | 0.06917435099603608| 27.999667591000616 | 0.12624482899991563
(282, 282) | 8.124403194000479 | 0.07317726199835306| 28.121205627001473 | 0.15076722700177925
(283, 283) | 8.489901171000383 | 0.08117107800353551| 29.393963696005812 | 0.15523572899837745
(284, 284) | 8.362365703993419 | 0.09119041400117567| 28.191353260997857 | 0.18466841699409997
(285, 285) | 8.469111619000614 | 0.08714151500316802| 28.130565867999394 | 0.1753282279969426
(286, 286) | 8.483198331996391 | 0.09216211400052998| 28.364197714996408 | 0.20689568999659969
(287, 287) | 8.51722610500292 | 0.08961953700054437| 28.49875531499856 | 0.2039463289984269
(288, 288) | 8.441798370004108 | 0.1012681700012763| 28.774067755999567 | 0.23536861399770714
(289, 289) | 8.275392865994945 | 0.1023443230005796| 27.803922703002172 | 0.2247804319995339
(290, 290) | 8.38681050199375 | 0.09912184199492913| 27.745832995002274 | 0.22756965099688387
(291, 291) | 8.21191888499743 | 0.10570316600205842| 28.5250610639996 | 0.2597601109955576
(292, 292) | 8.413735450994864 | 0.11848357299459167| 27.954449339005805 | 0.2539619559975108
(293, 293) | 8.323599547002232 | 0.11748139599512797| 27.801144341996405 | 0.3050821650031139
(294, 294) | 8.260276910004904 | 0.11422811800002819| 28.318487287004245 | 0.279252276995976
(295, 295) | 8.560792559997935 | 0.12359175099845743| 28.297563195003022 | 0.32252402400627034
(296, 296) | 8.431364719996054 | 0.1318497180036502| 28.314010804002464 | 0.344863742000598
(297, 297) | 8.262530605999928 | 0.14404476099298336| 27.739648631002638 | 0.42142016899742885
(298, 298) | 8.208528720999311 | 0.15137409899762133| 28.126862084995082 | 0.4087268029979896
(299, 299) | 8.46195767899917 | 0.16464534500119044| 28.705693417003204 | 0.4558417769949301
(300, 300) | 8.519554923004762 | 0.16839392799738562| 28.29397233200143 | 0.490508773997135
(301, 301) | 8.71978957799729 | 0.18389010700047947| 27.78518780200102 | 0.5315652749995934
(302, 302) | 8.370906848998857 | 0.2047505779992207| 27.828027005998592 | 0.5709730360031244
(303, 303) | 8.456473342994286 | 0.2001670629979344| 27.84089443999983 | 0.5741683199958061
(304, 304) | 8.24191882800369 | 0.22623744799784617| 28.929036744004407 | 0.5891499869976542
(305, 305) | 8.824806969001656 | 0.21639831399807008| 28.8433626929982 | 0.7165357350022532
(306, 306) | 8.96909758199763 | 0.23497763400519034| 29.06804077400011 | 0.7059952080016956
(307, 307) | 8.757830952003133 | 0.24375663800310576| 28.387338708002062 | 0.7013435190019663
(308, 308) | 8.35229890300252 | 0.24610822000249755| 28.141171671006305 | 0.7073294620058732
(309, 309) | 8.370762792997994 | 0.2598950440005865| 28.653717970999423 | 0.7665415130031761
(310, 310) | 8.713257821000298 | 0.2822125520033296| 28.041620821000834 | 0.8560604919985053
(311, 311) | 8.324404270999366 | 0.3026816180063179| 28.139592271996662 | 0.8717621450050501
(312, 312) | 8.446680348002701 | 0.30497390600066865| 28.181476076002582 | 0.9657009200018365
(313, 313) | 8.324952977003704 | 0.35069327800010797| 28.419251717998122 | 1.0530849040005705
(314, 314) | 8.519761966999795 | 0.3365176400038763| 28.583654556998226 | 1.0794210219974048
(315, 315) | 8.374756534998596 | 0.35869650400127284| 28.49761653099995 | 1.1173837569949683
(316, 316) | 8.531063941998582 | 0.369149768994248| 28.293313900998328 | 1.179150028998265
(317, 317) | 8.448930203005148 | 0.36187456699553877| 28.369402372001787 | 1.1331823360014823
(318, 318) | 8.49444944899733 | 0.40743120599654503| 28.489537848996406 | 1.2598039900040021
(319, 319) | 8.543670129001839 | 0.41928967000421835| 28.591049745002238 | 1.2777338270025211
(320, 320) | 8.4476478889992 | 0.4147463719928055| 28.01172999999835 | 1.3028340620003291
(321, 321) | 8.3365385290017 | 0.43811895300314063| 28.686825693999708 | 1.4002868899988243
(322, 322) | 8.657483640003193 | 0.47748125799989793| 28.75125851100165 | 1.4637286299985135
(323, 323) | 8.42860347500391 | 0.477988924998499| 28.234196042001713 | 1.5152655319980113
(324, 324) | 8.824343039996165 | 0.5402865709984326| 29.390760616995976 | 1.5720186800026568
