 Target | All Node Timing | Early Break Timing
(433, 433) | 8.737843138998869 | 7.514158318001137
(434, 434) | 8.668188769999688 | 7.665469923002092
(435, 435) | 8.839979232001497 | 7.463993327000935
(436, 436) | 8.764982007000071 | 7.615611827000976
(437, 437) | 8.785903569998482 | 7.597119614998519
(438, 438) | 8.375186599998415 | 7.644887867001671
(439, 439) | 8.642220585999894 | 7.635773059002531
(440, 440) | 8.371251407999807 | 7.558744285001012
(441, 441) | 8.38811436999822 | 7.48015146599937
(442, 442) | 8.226432734998525 | 7.597226301000774
(443, 443) | 8.46418946799895 | 7.517774754000129
(444, 444) | 8.220678570000018 | 7.639516094997816
(445, 445) | 8.436692814000708 | 7.648336434001976
(446, 446) | 8.369759099001385 | 7.579891442997905
(447, 447) | 8.292713271002867 | 7.746938501000841
(448, 448) | 8.230458254998666 | 7.811816360997909
(449, 449) | 8.362859585002298 | 7.714984221998748
(450, 450) | 8.250474584001495 | 7.833128589998523
(451, 451) | 8.266220024997892 | 7.867244895998738
(452, 452) | 8.370597674998862 | 7.886633570000413
(453, 453) | 8.239594914000918 | 7.877917531001003
(454, 454) | 8.279920416000095 | 7.956839269998454
(455, 455) | 8.254462594999495 | 7.995625920000748
(456, 456) | 8.227801992001332 | 7.964611610001157
(457, 457) | 8.376748991002387 | 7.878053204000025
(458, 458) | 8.137976572998014 | 7.982808955999644
(459, 459) | 8.274271367998153 | 7.979418505001377
(460, 460) | 8.372325153002748 | 7.9623357849995955
(461, 461) | 8.244723269999668 | 7.98857319900344
(462, 462) | 8.297815914000239 | 8.052097959000093
(463, 463) | 8.252298019997397 | 8.184072829000797
(464, 464) | 8.260881039001106 | 8.064289410998754
(465, 465) | 8.259978311998566 | 8.088404930000252
(466, 466) | 8.3210861080006 | 8.065070691001893
(467, 467) | 8.270807271001104 | 8.084239471998444
(468, 468) | 8.307188685997971 | 8.134051539997017
(469, 469) | 8.303454629000043 | 8.15841816199827
(470, 470) | 8.239522284999111 | 8.160502373000782
(471, 471) | 8.449948040997697 | 8.149249786998553
(472, 472) | 8.255372415998863 | 8.187524054999813
(473, 473) | 8.281951493001543 | 8.169397826997738
(474, 474) | 8.225201630997617 | 8.213335718999588
(475, 475) | 8.298804003999976 | 8.241284457999427
(476, 476) | 8.414480149000156 | 8.177201155998773
(477, 477) | 8.26751317900198 | 8.216025541998533
(478, 478) | 8.16612004599665 | 8.249867417998757
(479, 479) | 8.136237996997806 | 8.200491951000004
(480, 480) | 8.17373338499965 | 8.190122904998134
(481, 481) | 8.207077414001105 | 8.22209272300097
(482, 482) | 8.34320422899691 | 8.120223813999473
(483, 483) | 8.467862437999429 | 8.250054850999732
(484, 484) | 8.373348886998428 | 8.138369600997976
(485, 485) | 8.241823721997207 | 8.205678826998337
(486, 486) | 8.19818487199882 | 8.229367988999002
(487, 487) | 8.31840909300081 | 8.231489731999318
(488, 488) | 8.508288889999676 | 8.252681826998014
(489, 489) | 8.331398689002526 | 8.24082451600043
(490, 490) | 8.260833013002411 | 8.26122828899679
(491, 491) | 8.266235809998761 | 8.22290004000024
(492, 492) | 8.253464077999524 | 8.2233759380033
(493, 493) | 8.226890808000462 | 8.238415169998916
(494, 494) | 8.351241833999666 | 8.242094600998826
(495, 495) | 8.282258021001326 | 8.302294613000413
(496, 496) | 8.348558870999113 | 8.260081877997436
(497, 497) | 8.269459996998194 | 8.198460561998218
(498, 498) | 8.338025365999783 | 8.265857352998864
(499, 499) | 8.338725664001686 | 8.225349636999454
(500, 500) | 8.242634288002591 | 8.33777350300079
